Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,YEAR GP T/Os PerG,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,0,10,40,9 (1),6,2023 19 94 4.95,+2,2,8,4,2,12,27
CGY,1,8,10,7 (1),2,2022 81 348 4.30,+1,1,6,3,4,9,21
EDM,4,15,26,14 (1),3,2021 63 250 3.97,-5,4,7,1,6,10,8
HAM,4,13,45,13 (0),1,2019 81 337 4.16,-4,3,6,5,3,9,31
MTL,2,9,21,8 (1),4,2018 81 344 4.25,+3,6,1,2,6,12,20
OTT,3,14,28,13 (1),2,2017 81 291 3.59,-4,3,8,3,5,10,6
SSK,5,10,4,10 (0),1,,-3,1,4,0,6,7,3
TOR,2,4,10,4 (0),2,PTS OFF TURNOVERS,+9,0,2,2,9,13,65
WPG,4,11,31,10 (1),4,YEAR GP Pts %,+1,5,2,5,3,12,34
CFL,25,94,215,88 (6),25,2023 19 215 26%,2022,25,44,25,44,94,215
