Team,Acc,Decl,Yards,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,44,2,456,5,46,9.2,14,16,16,7,0,8,1
CGY,36,4,364,5,40,8.0,10,16,14,4,2,6,2
EDM,47,9,531,6,56,9.3,16,24,16,7,3,2,4
HAM,46,7,499,5,53,10.6,16,17,20,6,5,7,2
MTL,35,7,369,5,42,8.4,12,12,18,0,1,12,5
OTT,24,4,239,5,28,5.6,11,8,9,4,2,3,0
SSK,25,5,262,5,30,6.0,11,11,8,3,0,3,2
TOR,42,3,457,4,45,11.3,24,14,7,2,2,2,1
WPG,30,7,300,6,37,6.2,16,11,10,2,0,8,0
CFL,329,48,"3,477",2023,377,16.4,130,129,118,35,15,51,17
