Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,45.9,63,2,2,1,1,31,"1,422",21,250,11.9,91,35.2,"1,092",(17),-90,+61,"1,046",33.7
CGY,50.1,77,2,6,3,3,40,"2,005",33,440,13.3,94,37.1,"1,485",(29),-45,+53,"1,464",36.6
EDM,46.7,85,4,2,0,3,48,"2,240",35,437,12.5,44,34.2,"1,643",(51),-90,+56,"1,558",32.5
HAM,46.4,78,1,1,1,1,31,"1,439",26,224,8.6,77,37.9,"1,175",(17),-35,+40,"1,163",37.5
MTL,48.9,67,0,2,0,0,33,"1,615",27,220,8.1,20,42.3,"1,395",(0),-17,+20,"1,398",42.4
OTT,46.7,64,1,1,0,0,33,"1,542",27,156,5.8,26,40.8,"1,346",(12),-45,+48,"1,337",40.5
SSK,51.1,90,1,2,1,1,29,"1,483",25,336,13.4,92,38.2,"1,107",(20),-45,+20,"1,062",36.6
TOR,48.7,66,2,4,0,2,24,"1,169",18,212,11.8,52,36.5,877,(21),-30,+18,844,35.2
WPG,46.2,73,2,3,0,0,35,"1,617",26,262,10.1,20,36.4,"1,275",(2),-25,+30,"1,278",36.5
CFL,47.8,90,15,23,6,11,304,"14,532",238,"2,537",10.7,94,37.5,"11,395",(169),-422,+346,"11,150",36.7
