TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,43 61%,15,11,73.3,3,0,1,86,82%,10,5,50.0,3,2,0
CGY,58 59%,13,8,61.5,3,2,0,65,71%,14,6,42.9,6,2,0
EDM,93 63%,11,6,54.5,3,2,0,50,65%,21,10,47.6,7,2,2
HAM,101 72%,15,7,46.7,6,2,0,68,65%,20,12,60.0,5,2,1
MTL,60 66%,13,6,46.2,4,3,0,54,59%,13,6,46.2,6,1,0
OTT,64 76%,14,3,21.4,7,3,1,43,44%,12,7,58.3,5,0,0
SSK,76 72%,17,8,47.1,6,3,0,73,61%,15,10,66.7,2,3,0
TOR,63 82%,16,12,75.0,4,0,0,97,87%,11,8,72.7,2,1,0
WPG,84 71%,19,13,68.4,4,1,1,106,80%,17,10,58.8,4,3,0
CFL,642 69%,133,74,55.6,40,16,3,642,69%,133,74,55.6,40,16,3
