Team,C1,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,13,0,12,3,0,1,0,0,0,14,4,9,0,28,49,27,32,0
CGY,8,1,13,2,0,1,0,0,0,10,5,4,0,24,31,17,36,3
EDM,6,1,6,5,0,0,0,0,0,10,2,7,1,14,22,24,31,0
HAM,5,2,13,1,0,2,0,0,0,11,4,4,1,13,25,46,31,0
MTL,10,0,12,0,0,0,1,0,0,10,3,5,1,24,30,16,36,0
OTT,3,3,15,1,0,0,1,0,0,7,4,1,1,11,36,9,35,6
SSK,9,1,10,3,0,0,2,0,0,12,2,8,0,24,16,35,35,6
TOR,17,1,8,4,0,0,1,0,0,18,10,5,2,29,43,41,42,0
WPG,16,0,13,3,1,0,1,0,0,17,5,11,0,46,45,45,23,3
CFL,87,9,102,22,1,4,6,0,0,109,39,54,6,213,297,260,301,18
