Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,0,10,40,9 (1),6,+2,2,8,4,2,12,27
CGY,1,9,10,8 (1),3,+2,1,7,4,4,11,28
EDM,4,17,36,16 (1),3,-6,4,9,2,6,11,11
HAM,4,14,48,13 (1),1,-3,4,6,5,5,11,41
MTL,3,12,22,11 (1),4,+1,6,3,2,7,13,23
OTT,5,17,28,16 (1),2,-5,3,9,4,6,12,14
SSK,6,12,11,12 (0),1,-4,2,4,0,7,8,3
TOR,2,5,13,5 (0),3,+11,0,3,2,11,16,66
WPG,4,13,39,12 (1),6,+2,6,3,5,4,15,34
CFL,29,109,247,102 (7),29,2022,28,52,28,52,109,247
