Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,9,+5,14,3,8,1,0,2,1,5,1,2,0
CGY,17,1,18,2,13,1,1,1,4,6,3,1,3
EDM,25,-8,17,5,8,2,2,0,6,14,3,2,0
HAM,23,-7,16,2,9,1,4,0,6,14,1,2,0
MTL,13,+1,14,1,12,1,0,0,3,10,0,0,0
OTT,19,-6,13,6,5,2,0,0,1,17,1,0,0
SSK,16,+0,16,3,9,2,2,0,1,12,1,1,1
TOR,8,+9,17,4,12,1,0,0,0,3,2,3,0
WPG,17,+5,22,2,15,1,3,1,6,10,0,1,0
CFL,147,0,147,28,91,12,12,4,28,91,12,12,4
