Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,5,27,"1,706",63.2,26,525,20.2,43,27,"1,706",63.2,940,36.2
CGY,82,0,0,0,1,3,25,"1,661",66.4,25,539,21.6,42,25,"1,661",66.4,870,36.3
EDM,68,0,1,0,2,9,21,"1,039",49.5,20,289,14.5,62,21,"1,039",49.5,827,43.5
HAM,79,0,0,0,2,6,24,"1,430",59.6,21,415,19.8,43,23,"1,417",61.6,934,40.6
MTL,75,0,0,0,0,4,20,"1,322",66.1,20,422,21.1,32,20,"1,322",66.1,665,35.0
OTT,77,0,0,0,0,8,19,"1,148",60.4,18,301,16.7,34,19,"1,148",60.4,676,35.6
SSK,95,1,0,0,1,7,21,"1,226",58.4,19,351,18.5,41,20,"1,215",60.8,823,39.2
TOR,98,1,0,0,3,1,34,"2,469",72.6,33,881,26.7,72,34,"2,469",72.6,"1,162",34.2
WPG,90,1,0,0,1,2,31,"2,095",67.6,30,698,23.3,40,31,"2,095",67.6,"1,098",35.4
CFL,98,4,1,0,12,,222,"14,096",63.5,212,"4,421",20.9,72,220,"14,072",64.0,"7,995",37.0
