20+_yds_Effic,Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD
29.9,BC,162,118,72.8,866,3,0,77.3,38,23,60.5,359,1,2,98.5,32,7,21.9,274,2,0
115.5,CGY,144,119,82.6,967,1,2,100.7,44,23,52.3,391,3,2,69.4,33,8,24.2,338,0,5
128.0,EDM,115,88,76.5,695,2,4,95.4,57,36,63.2,658,2,0,88.2,47,24,51.1,760,3,6
117.8,HAM,107,81,75.7,823,2,4,101.9,60,36,60.0,620,2,1,86.8,32,15,46.9,469,2,4
125.2,MTL,129,92,71.3,747,3,0,76.0,32,14,43.8,228,3,0,29.2,40,19,47.5,622,3,6
76.1,OTT,129,104,80.6,1178,4,5,107.3,54,27,50.0,470,3,0,56.9,39,16,41.0,573,6,5
54.0,SSK,122,91,74.6,858,2,2,92.2,50,26,52.0,454,3,3,78.3,34,11,32.4,364,4,3
81.7,TOR,137,113,82.5,952,4,2,92.5,42,29,69.0,480,4,1,75.5,47,18,38.3,498,6,8
118.1,WPG,136,95,69.9,712,4,2,74.8,57,31,54.4,478,2,1,73.6,38,15,39.5,538,1,4
95.6,CFL,"1,181",901,76.3,"7,798",25,21,90.3,434,245,56.5,4138,23,10,74.5,342,133,38.9,"4,436",27,41
