Team,FGM,T/O,Punt,Oth TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,11,46,6 16.0,100,16,20,22,3,58,9,10,1,7,2,2,0,1,1,33,33%
CGY,3,15,47,2 13.6,103,14,22,13,2,57,6,18,1,6,1,8,4,1,0,34,33%
EDM,3,21,63,3 9.3,108,10,8,14,2,67,5,15,1,8,1,4,1,0,0,37,34%
HAM,0,20,45,6 11.1,99,11,17,16,0,52,5,17,2,10,3,3,0,1,1,37,37%
MTL,2,11,37,5 9.9,81,8,18,17,1,43,4,16,2,3,0,1,1,1,0,24,30%
OTT,1,20,47,8 8.5,106,9,21,19,1,56,3,21,1,4,2,5,2,1,0,45,42%
SSK,4,19,48,5 10.8,102,11,15,16,1,57,5,14,2,8,1,6,1,1,1,40,39%
TOR,1,6,39,4 24.4,82,20,12,12,1,40,9,14,3,7,3,9,4,0,0,24,29%
WPG,1,15,39,9 19.4,98,19,15,12,2,60,12,13,2,9,2,3,1,1,0,37,38%
CFL,16,138,411,48 13.4,879,118,148,141,13,490,58,138,15,62,15,41,14,7,3,311,35%
