Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,70.8,62.8,35.2,155,75,48.4,24,17,43,27,88,31,"1,218",7.86
CGY,75.0,35.1,32.6,159,68,42.8,36,27,37,13,86,28,"1,134",7.13
EDM,66.7,45.9,35.5,163,72,44.2,33,22,37,17,93,33,"1,266",7.77
HAM,63.2,53.6,36.9,150,65,43.3,19,12,28,15,103,38,"1,231",8.21
MTL,64.0,48.3,35.1,131,57,43.5,25,16,29,14,77,27,976,7.45
OTT,78.6,52.6,29.3,165,71,43.0,28,22,38,20,99,29,"1,180",7.15
SSK,60.0,48.6,34.4,161,68,42.2,30,18,35,17,96,33,"1,260",7.83
TOR,82.8,50.0,39.0,122,64,52.5,29,24,34,17,59,23,912,7.48
WPG,76.0,56.9,38.0,155,78,50.3,25,19,51,29,79,30,"1,051",6.78
CFL,71.1,50.9,34.9,"1,361",618,45.4,249,177,332,169,780,272,"10,228",7.52
