Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,1,1,2,5,42,449,10.7,44,22,531,24.1,62,0,3,94,48,0,0,0,0,0
CGY,0,2,1,T5,1,4,41,464,11.3,33,30,630,21.0,43,0,3,135,86,0,0,0,0,0
EDM,0,2,2,4,0,4,36,360,10.0,52,27,576,21.3,72,0,2,27,20,0,0,0,0,0
HAM,0,2,4,3,1,7,35,368,10.5,39,35,808,23.1,71,0,1,47,47,0,0,0,0,0
MTL,1,1,0,8,0,1,30,285,9.5,77,26,520,20.0,36,0,1,12,12,0,1,0,0,1
OTT,1,3,0,7,0,3,47,495,10.5,79,28,581,20.8,39,0,0,0,0,0,1,0,0,1
SSK,2,2,2,2,0,4,47,541,11.5,94,30,701,23.4,62,0,1,29,29,0,2,0,0,2
TOR,2,4,0,9,0,4,42,563,13.4,91,20,316,15.8,32,0,0,0,0,0,2,0,0,2
WPG,1,1,3,T5,1,5,39,429,11.0,92,20,420,21.0,43,0,3,170,102,0,1,0,0,1
CFL,7,19,13,,5,37,359,"3,954",11.0,94,238,"5,083",21.4,72,0,14,514,102,0,7,0,0,7
