Team,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,3,35,371,10.6,91,1,1,28,561,20.0,43,0,2,1,20,20,0,0,1,0,0,1
CGY,8,45,544,12.1,94,3,4,27,579,21.4,42,0,1,3,184,102,0,3,3,0,0,3
EDM,5,47,565,12.0,44,0,3,20,289,14.5,62,0,2,2,41,29,0,0,0,0,0,0
HAM,3,42,391,9.3,77,1,1,24,480,20.0,43,0,2,1,12,12,0,0,1,0,0,1
MTL,2,33,300,9.1,33,0,1,23,486,21.1,32,0,0,2,74,47,0,1,0,0,0,0
OTT,2,43,345,8.0,36,0,2,21,388,18.5,37,0,0,1,24,24,0,0,0,0,0,0
SSK,6,45,684,15.2,92,2,4,23,446,19.4,41,0,1,3,152,86,0,1,2,0,0,2
TOR,5,38,411,10.8,52,0,2,35,926,26.5,72,0,3,0,0,0,0,0,0,0,0,0
WPG,3,31,343,11.1,35,0,1,37,928,25.1,62,0,2,1,7,7,0,0,0,0,0,0
CFL,37,359,"3,954",11.0,94,7,19,238,"5,083",21.4,72,0,13,14,514,102,0,5,7,0,0,7
