Team,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+-yds_TD
BC,92.0,178,130,73.0,985,4,0,76.6,43,26,60.5,398,1,3,104.6,40,13,32.5,563,2,3
CGY,106.1,158,130,82.3,1048,1,2,99.9,45,23,51.1,391,3,2,67.9,39,9,23.1,414,1,6
EDM,128.0,115,88,76.5,695,2,4,95.4,57,36,63.2,658,2,0,88.2,47,24,51.1,760,3,6
HAM,107.3,125,95,76.0,968,3,5,101.0,63,39,61.9,713,2,1,92.9,36,17,47.2,549,3,4
MTL,115.1,149,108,72.5,867,4,0,75.5,36,16,44.4,257,4,0,22.6,47,21,44.7,675,3,6
OTT,81.2,151,120,79.5,1318,4,5,104.7,61,32,52.5,547,3,0,62.7,47,18,38.3,652,6,6
SSK,53.7,135,102,75.6,950,2,2,93.1,54,30,55.6,509,3,3,83.0,38,12,31.6,391,4,3
TOR,81.7,160,134,83.8,1087,4,2,93.9,43,30,69.8,494,4,1,77.1,47,18,38.3,498,6,8
WPG,87.0,161,114,70.8,875,4,2,77.5,62,32,51.6,504,3,1,64.2,47,15,31.9,538,2,4
CFL,95.1,"1,332","1,021",76.7,"8,793",28,22,90.2,464,264,56.9,4471,25,11,75.1,388,147,37.9,"5,040",30,46
