Team,T/O,Punt,Oth TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,17,60,5 10%,114,11,18,3,15,2,59,2,24,3,13,3,2,1,1,0,39,34%
CGY,13,52,10 13%,112,15,18,4,20,2,62,7,16,2,6,2,5,1,3,1,38,34%
EDM,13,44,8 16%,109,17,24,3,24,1,59,9,14,2,8,3,4,2,0,0,36,33%
HAM,15,49,7 18%,114,21,20,2,20,2,54,12,23,4,6,0,11,3,0,0,35,31%
MTL,20,40,3 10%,96,10,21,2,15,1,59,4,13,2,5,1,3,0,1,0,39,41%
OTT,23,57,3 14%,120,17,20,0,20,1,67,9,19,3,7,1,6,3,1,0,42,35%
SSK,12,57,7 12%,116,14,23,3,14,3,64,6,21,1,5,1,10,3,2,0,44,38%
TOR,22,47,6 14%,100,14,11,0,16,1,65,7,10,3,6,2,3,1,0,0,38,38%
WPG,23,51,5 11%,109,12,15,3,16,2,57,6,22,0,8,1,4,1,2,2,39,36%
CFL,158,457,54 13.2,990,131,170,20,160,15,546,62,162,20,64,14,48,15,10,3,350,35%
