Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,106.3,10,92.9,141,121,85.8,"1,026",0,1,55,33,60.0,576,6,1,56.3,69,26,37.7,684,5
CGY,87.2,4,84.8,189,138,73.0,"1,240",3,2,56,28,50.0,430,5,2,50.4,32,10,31.3,415,3
EDM,76.3,4,104.4,160,109,68.1,948,6,4,47,20,42.6,328,3,0,40.0,31,14,45.2,561,4
HAM,78.8,4,54.9,167,125,74.9,"1,115",7,2,53,29,54.7,467,3,0,60.8,57,18,31.6,543,5
MTL,94.9,3,109.2,128,99,77.3,912,2,2,40,22,55.0,431,1,1,90.7,34,15,44.1,534,2
OTT,90.3,1,-22.1,156,117,75.0,984,1,1,56,30,53.6,483,4,1,58.9,26,5,19.2,169,5
SSK,90.7,5,77.2,168,132,78.6,"1,013",4,4,66,47,71.2,767,0,1,114.9,52,17,32.7,598,4
TOR,90.7,6,142.9,96,76,79.2,642,2,1,36,21,58.3,421,1,2,106.4,38,19,50.0,624,2
WPG,103.6,9,180.0,127,104,81.9,913,3,5,55,34,61.8,568,2,3,99.7,49,23,46.9,912,0
CFL,90.2,46,95.1,"1,332","1,021",76.7,"8,793",28,22,464,264,56.9,4471,25,11,75.1,388,147,37.9,"5,040",30
